old_tag,new_tag,score
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
RevenueRecognitionMultipleDeliverableArrangementsDeterminationOfSellingPriceAmount,TotalCostOfRevenueAndOperatingExpenses',3
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
DerivativeFairValueOfDerivativeAsset,EffectOfAccountingChanges',1
DerivativeFairValueOfDerivativeAsset,EffectOfAccountingChanges',1
DerivativeFairValueOfDerivativeAsset,EffectOfAccountingChanges',1
DerivativeFairValueOfDerivativeAsset,EffectOfAccountingChanges',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
NoncurrentAssets,DeferredAssetsNoncurrent',4
NoncurrentAssets,DeferredAssetsNoncurrent',4
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
RevenueRecognitionMultipleDeliverableArrangementsDeterminationOfSellingPriceAmount,TotalCostOfRevenueAndOperatingExpenses',3
OtherOperatingIncomeExpenseNet,TotalOtherIncomeExpenseNet',6
OtherOperatingIncomeExpenseNet,TotalOtherIncomeExpenseNet',6
OtherOperatingIncomeExpenseNet,TotalOtherIncomeExpenseNet',6
OtherOperatingIncomeExpenseNet,TotalOtherIncomeExpenseNet',6
OtherOperatingIncomeExpenseNet,TotalOtherIncomeExpenseNet',6
PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentTotal',7
PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentTotal',7
PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentTotal',7
PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentTotal',7
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,Liabilities',4
PaymentsToAcquireBusinessesNetOfCashAcquired,NetIncomeApplicableToCommonShare',2
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,Liabilities',4
PaymentsToAcquireBusinessesNetOfCashAcquired,NetIncomeApplicableToCommonShare',2
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,TotalIntangibleAssetsNet',6
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,TotalIntangibleAssetsNet',6
GoodwillAcquiredDuringPeriod,NegativeGoodwill',2
GoodwillAcquiredDuringPeriod,NegativeGoodwill',2
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,NetIncomeApplicableToCommonShares',4
ShareBasedCompensationArrangementByShareBasedPaymentAwardMaximumEmployeeSubscriptionRate,NetIncomeApplicableToCommonShare',2
SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,NetIncomeApplicableToCommonShares',4
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
AllocatedShareBasedCompensationExpense,TotalIncomeTaxExpense',2
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
UpfrontPaymentUnderAcceleratedShareRepurchaseProgram,NetIncomeApplicableToCommonShare',1
AdditionalStockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
AcceleratedShareRepurchasesFinalPricePaidPerShare,NetIncomeApplicableToCommonShare',2
UpfrontPaymentUnderAcceleratedShareRepurchaseProgram,NetIncomeApplicableToCommonShare',1
AcceleratedShareRepurchasesFinalPricePaidPerShare,NetIncomeApplicableToCommonShare',2
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
SeniorNotes,GrossProfit',1
SeniorNotes,GrossProfit',1
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
SeniorNotes,GrossProfit',1
SeniorNotes,GrossProfit',1
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,TOTALCURRENTLIABILITIES',6
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,TOTALCURRENTLIABILITIES',6
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,TotalOtherIncomeExpensesNet',4
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,TotalOtherIncomeExpensesNet',4
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,TotalOtherIncomeExpensesNet',4
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,TOTALCURRENTLIABILITIES',6
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,TOTALCURRENTLIABILITIES',6
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,TOTALCURRENTLIABILITIES',6
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,TotalOtherIncomeExpensesNet',4
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,TotalOtherIncomeExpensesNet',4
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
SeniorNotes,GrossProfit',1
SeniorNotes,GrossProfit',1
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
SeniorNotes,GrossProfit',1
SeniorNotes,GrossProfit',1
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,IncomeBeforeTax',5
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,IncomeBeforeTax',5
OtherComprehensiveIncomeLossTax,TotalIncomeTaxExpense',3
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,IncomeBeforeTax',7
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,IncomeBeforeTax',7
OtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
AccumulatedOtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
AccumulatedOtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
OtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
AccumulatedOtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
AccumulatedOtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
OtherComprehensiveIncomeLossTax,TotalIncomeTaxExpense',3
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,TOTALCURRENTLIABILITIES',8
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,TOTALCURRENTLIABILITIES',8
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,TOTALCURRENTLIABILITIES',8
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,NetIncomeFromContinuingOperations',4
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,NetIncomeFromContinuingOperations',4
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,NetIncomeFromContinuingOperations',4
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,IncomeBeforeTax',5
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,IncomeBeforeTax',5
OtherComprehensiveIncomeLossTax,TotalIncomeTaxExpense',3
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,IncomeBeforeTax',7
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,IncomeBeforeTax',7
AccumulatedOtherComprehensiveIncomeLossNetOfTax,TotalOtherIncomeExpensesNet',4
