,tag,new_tag
3159,DebtInstrumentInterestRateEffectivePercentageRateRangeMaximum,"('OtherMinorityInterest', 2)"
3160,SeniorNotes,"('GrossProfit', 1)"
3161,SeniorNotes,"('GrossProfit', 1)"
3162,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
3163,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
3164,SeniorNotes,"('GrossProfit', 1)"
3165,SeniorNotes,"('GrossProfit', 1)"
3166,DebtInstrumentInterestRateStatedPercentage,"('OtherMinorityInterest', 2)"
3167,DebtInstrumentFaceAmount,"('TotalCurrentLongTermDebt', 2)"
3168,DerivativeFairValueOfDerivativeAsset,"('EffectOfAccountingChanges', 1)"
3169,DerivativeFairValueOfDerivativeAsset,"('EffectOfAccountingChanges', 1)"
3170,OperatingLeasesFutureMinimumPaymentsDue,"('TotalOperatingIncomeLoss', 2)"
3171,DerivativeFairValueOfDerivativeAsset,"('EffectOfAccountingChanges', 1)"
3172,DerivativeFairValueOfDerivativeAsset,"('EffectOfAccountingChanges', 1)"
3173,EmployeeStockPurchaseProgramAuthorizedAmount,"('PreferredStockAndOtherAdjustments', 1)"
3174,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,"('TOTALCURRENTLIABILITIES', 8)"
3175,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,"('TOTALCURRENTLIABILITIES', 8)"
3176,DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,"('TotalOtherIncomeExpensesNet', 4)"
3177,DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,"('TotalOtherIncomeExpensesNet', 4)"
3178,DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,"('TotalOtherIncomeExpensesNet', 4)"
3179,OperatingIncomeLoss,"('OperatingIncomeLoss', 10)"
3180,OperatingIncomeLoss,"('OperatingIncomeLoss', 10)"
3181,OperatingIncomeLoss,"('OperatingIncomeLoss', 10)"
3182,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3183,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3184,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3185,StockIssuedDuringPeriodValueAcquisitions,"('TreasuryStocksValue', 2)"
3186,StockIssuedDuringPeriodSharesAcquisitions,"('RedeemablePreferredStockShares', 3)"
3187,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
3188,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
3189,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
3190,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
3191,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
3192,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
3193,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
3194,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
3195,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
